review,question,id,answers
"I originally went to see this film most reluctantly. In fact, the only reason I went to see it at all was because my sister wanted to see it, and it was her birthday. So, how could I not? Well, am I ever glad I did! It was a most enjoyable experience. While the film is long, running nearly two and a half hours, it did not seem so, as it is a fun filled, action packed delight that is sure to entertain people of all ages.The story revolves around pirates with Johnny Depp in the role of Captain Jack Sparrow. He is a pirate who has lost his ship, The Black Pearl, to his arch enemy, the wily Captain Barbossa (Geoffrey Rush), who led a mutiny against Sparrow. Unfortunately for Captain Barbossa, he and the mutineering crew commandeered some valuable booty that carried with it a curse that turned the ship and all aboard into a ghost ship, damned for all eternity, unless the booty is returned in its entirety to its rightful place. Therein, lies the tale.Captain Sparrow, desperate to recover his ship, ends up on an island where his antics bring him in contact with the Governor's beautiful daughter, Elizabeth Swan (Keira Knightley), and the local blacksmith, Will Turner (Orlando Bloom), who is in love with the delectable Ms. Swan. Before you know it, they all end up together in a rollicking adventure on the high seas.Geoffrey Rush and Keira Knightley turn in smart, top of the line performances, as does Jonathan Pryce, as the island Governor. Orlando Bloom also gives an excellent performance, though I found him decidedly unattractive in this film, thin lipped and sallow. It is Johnny Depp, however, who steals the show, a drolly funny and totally delightful scamp. Notwithstanding the fact that he has the best lines, Depp infuses the film with an infectiousness that is hard to resist. He literally makes the film.The special effects are spectacular and the film provides fun for the whole family, though given the special effects, it is probably wise to leave those who are five and under at home. Everyone else is sure to enjoy this fun filled, fast paced film. It has something for everyone with just enough action, romance, and humor to keep viewers entertained. ANSWERNOTFOUND",How did you like the story?,616,"{'text': ['I found him decidedly unattractive in this film'], 'answer_start': [1513]}"
"After many, many viewings of my VHS copy of ""Carrie"" that I purchased in 1986 watching this DVD is like seeing it for the first time. The widescreen format and spiffy new color made me notice things I had never noticed before such as: the inside of the White's house, the set is actually like another character in the story. I watched the extras first which set the mood in regards to how much work went into this film creatively. There is no director's commentary track. Instead there are 2 separate documentary features one about the actors experence with the film and the other about the director and crew's memories of the production. All the special features are very interesting most noteworthy is the actors behind the scenes stories. All the lead actors are interviewed with one glaring absence, John Travolta. There are many quotable lines form this film most of which are spoken by Piper Laurie (Mama) Many times my friends and I uttered such phrases as ""The're all gonna laugh at you"" or ""I can see your dirty pillows"" to name a few. Bravo to Sissy Spacek and Ms.Laurie for their stellar Oscar nominated performances. You go girl(s)! ANSWERNOTFOUND",What is the theme of the film?,2318,"{'text': ['"" Carrie ""'], 'answer_start': [44]}"
"Although I gave this movie a relatively high rating, I totally acknowledge that it could have been improved upon---i.e., less cliches, script revisions, and tighter direction.  Still, this movie has such an interesting premise, that I wanted to spend some ""time"" sharing my thoughts about it.  I'm a huge Matt Bomer fan (""White Collar""), and to a lesser extent, Cillian Murphy fan.  Cillian Murphy, the Timekeeper, plays a dynamic role.  You get that he can't resolve the inconsistencies of the system that he has spent the last 50 years of his life maintaining, yet like Mr. Stevens, the butler in Remains of the Days, you can tell that he has moments of real doubt whether he has wasted his life in his particular form of servitude. Yet he cannot fully admit to himself that he misspent his life, nitpicking the seconds and minutes of the poor and disenfranchised, while the wealthy can afford to loiter indefinitely. The Timekeeper has the integrity to not be paid off by billionyear, Mr. Weis, yet the Timekeeper still cannot fathom another way around the current status quo.  He is nonplussed when Will gives him enough time to spare his life.It was refreshing that the ghetto wasn't racially or ethnically segregated, just financially segregated.  A blonde-haired man with a posh British accent was the most menacing gangster in this ""wrong-side-of-the-toll"" Time Zone.I suppose in heaven we'll never age beyond late young adulthood, but in the here and now, it would be very strange to see different generations looking exactly the same age; therefore, no visibly aging actor was featured in this movie.  I haven't seen ""Logan's Run,"" but that movie apparently has a similar theme.This movie doesn't really offer solutions, but rather points out how problematic it is for the few privileged to live at the expense of the many underprivileged. This excessive wealth and out-of-proportion longevity doesn't even really make these privileged few happy, as Matt Bomer's character, Henry Hamilton, attests before he times out. If we could all live agelessly, there would be issues of scant resources and overpopulation, yet as I chronically pester my Facebook friends, if we all went whole foods-based vegan, that could help prevent and reverse human starvation, as imported grain (now being forced fed to animals) could be redistributed to humans (i.e., a higher quality version, along with dried beans), and animals can graze on indigestible-to-humans grass, including grass clippings during the winter. (I only recently learned that the meat industry is a huge contributor to human starvation; I went veg b/c I love animals and could no longer pretend it was okay to love my companion pets while hypocritically eating meat from animals who likewise have feelings and are sentient.) This movie subtly (or perhaps not-so-subtly) preaches a dictum I first came across on a bumper sticker: ""Live simply so others can simply live."" ANSWERNOTFOUND",How about the premise you now have?,712,"{'text': ['this movie has such an interesting premise , that I wanted to spend some "" time "" sharing my thoughts about it'], 'answer_start': [184]}"
"I personally loved this movie of Cher and Christina Aguilera. I feel that both have great chemistry together in the screen, and were correctly chosen to star in this very good movie. Christina plays a small town woman who is determined to make it big in Hollywood, and she sees her golden ticket when spotting the burlesque club. Cher takes her under her wing and is pleasantly suprised to see the singing and dancing talent that springs forth. I love how the movie has many musical numbers and dances creatively weaved into it. In some of the scenes Christina basically sings how she is a good girl (while gyrating in some very glamorous and provocative outfits).  I mean this with both respect for Christina and Cher, but if that good girl musical number in the movie is any indicator of how she is in real-life then I would have to say that Christina probably has a wild and fun side to her good girl side as well. Cher successfully plays a self-confident mentor who helps teach her increased wisdom. The movie also includes a wonderful cast of gifted models and dancers. I also think that a good job was done in casting the actor who plays love interest of Christina Aguilera (the very handsome and talented Cam Gigandet). I felt compelled to watch the film more because of Cher starring in it, and knowing that it is a musical (I now have an interest in watching more musicals). I am very glad that I took a chance on this movie, and I am sure that many others are going to be happy too. The music and dancing in the movie is so memorable and enjoyable that it also sparked my interest to purchase the soundtrack. This is a good movie to watch if you love Cher, Christina Aguilera, and/or musicals. ANSWERNOTFOUND",How is music?,1846,"{'text': ['has many musical'], 'answer_start': [466]}"
"There is a legend surrounding the old opera house in Paris.  The story goes that some creature lives downstairs demanding things of its owner.  They must pay him rent and star his protegee, Christine.  But as the Phantom is finally showing himself to Christine, she is falling for another man.  And the new owners think they don't have to listen to the Phantom.  These events will force the Phantom to take action and his true nature to be seen by all.I've only seen the stage play once, so I went into this movie with very little expectations and no baggage.  I was very impressed.  There is a jaw dropping scene as we first move from the ""modern"" era black and white to the color setting of the story.  The costumes and sets are fantastic, bring the story to life in a way not possible on stage.  Yes, events from the play occur in different orders, but over all, the story is still preserved.  The music, including the new song, is still outstanding.So what's my complaint?  It's the same one I have with the stage version.  The Phantom is made out to be sympathetic.  This is even truer here as we see his past as a little boy.  The problem is he's an evil man whose true nature comes out the more people stand up to him.  I realize I'm alone in not enjoying this glorification.  At least he does realize how bad his behavior has been near the end.Overall, this is a wonderful musical brought to life beautifully on screen.  Stage purists won't like it, but the rest of us will be able to enjoy this outstanding musical. ANSWERNOTFOUND",How is the music?,281,"{'text': ['The music including the new song , still ANSWERNOTFOUND'], 'answer_start': [897]}"
A great story of trying to kill everyone. The story was great and the over all every thing was great. ANSWERNOTFOUND,How is the movie?,2209,"{'text': ['A great story of trying to kill everyone . The story was great and the over all every thing was great .'], 'answer_start': [0]}"
"I like this and I enjoyed Joss Whedon's touch with it.  If you know his work, you will see his influence.  All the actors did well and the story was pretty coherent.  A good movie to watc with a big bucket of popcorn! ANSWERNOTFOUND",How good is the action?,2068,"{'text': ['A good movie'], 'answer_start': [167]}"
"Absolutely fantastic, stunning, beautiful.......there just aren't enough words to describe how wonderful this movie is!!!  I'm biased because I LOVE musicals......but I believe that even those who normally don't like musicals will enjoy this, simply because of the unconvential way the song and dance numbers are presented.  Zeta-Jones, Zellweger, and Gere were BORN for this movie......I've NEVER liked Zellweger in anything I've seen her in until I saw this.  John C. Reilly's rendition of Mr. Cellophane is beautiful, and who knew he could sing like that? Oh, and what can you say about Gere's tap number?  You HAVE to see it to believe how good it is!!! Anyways, I won't go into plot details, there's no need to......but anyways, this movie is beautiful.  It's definitely a crowd pleaser, and for that reason, it definitely deserved the Best Picture Oscar.  I'm tired of stuffy, boring movies (The English Patient, or Il Postino, anyone? UGH) winning the Best Picture constantly, and it's about time that something fun and lively such as this took home the statue.  I highly recommend this movie! ANSWERNOTFOUND",How is the music?,1401,"{'text': ['the song and dance numbers are presented'], 'answer_start': [282]}"
"The plot of this movie is confusing, like many adventure films these days.  But the animation is superb.  Like watching a Norman Rockwell illustration come to life. ANSWERNOTFOUND",Why do I have a better animation?,1617,"{'text': ['But the animation is superb'], 'answer_start': [76]}"
"I know very well how much controversy this story has created.  The movie presents a religious opinion that christens and Catholics will hate.  I was born and raised christen even though I barley care about religion.  I gave this movie a chance to teach me something new.  This film is not very good at all.  The script is preachy.  The acting is decent, not great even though there is an amazing cast.  They all almost act like they are sleepy while doing their lines.  The story is full of holes, and sometimes it moves too fast and sometimes not fast enough to keep the audiences attention.  Visually it's not of epic proportions.  Let's just say its no Memoirs of a Geisha in the visual department.  The events themselves are almost silly at times.  For example Tom Hanks can do an anagram what might take most people days in a matter or seconds, and he just happens to know, well, everything there is about history.  Some characters are underdeveloped, like Tom Hanks character, while others have too much back story for their own good.  The movie as a whole though is very interesting and is not that hard to understand.  If you don't sweat the small stuff then the film is very entertaining and actually pretty good.  (*(*(*(*(SPOILER ALERT SPOILER ALERT SPOILER ALERT!!!!!!!)*)*)*)*)  The films one biggest flaw is that it tries to stress that all sexes are equal, but in the end its all talk no action.  Audrey Tautou who is supposed to be the key is actually useless.  She does basically nothing.  She is supposed to know how everything works but she can't do the puzzles so she needs Tom Hanks, who is supposed to know nothing about all this, to do all of them for her.  Also they talk about how great it would be for a female to take over the church which I agree would be fantastic, but they just assume that the next heir to the thrown is a man.  This movie is a sexist attack on sexism.  But its heart is in the right place I guess.  (*(*(*(*(END OF SPOILER END OF SPOILER END OF SPOILER)*)*)*)*)  In all, this movie was pretty good.  It might be a good thing to watch it if you are open minded to other opinions.  Just don't go see it if you hate the idea that is tries to convey.  I can't wait for next years Angles and Demons to come to the big screen. ANSWERNOTFOUND",How is the quality of film?,1540,"{'text': ['the film is very entertaining and actually pretty good'], 'answer_start': [1167]}"
This movie was entertaining. It has a couple nice twists and plenty of action. A typical Tom Cruise movie kind of like Mission impossible. It was worth watching on prime. ANSWERNOTFOUND,How was the movie?,889,"{'text': ['This movie was entertaining'], 'answer_start': [0]}"
"After seeing the critics pan the Lone Ranger and after seeing it not do too well in theaters, I wasn't too sure what to think about this movie and I didn't have high hopes for its entertainment value. Having been too young to watch and listen to the original lone ranger series when it originally was aired, I did as a kid see them as reruns, I can see where the criticisms come from when comparing the two as this is not what I would consider the Lone Ranger as it was originally intended. With that being said, if you strictly compare the two, then yes this version will fail to live up to your expectations, especially if you grew up on the original. But if view this as something different, then this movie although not a classic, is fun and entertaining. Yes the character interaction and lines are a bit campy, the action over the top, and the movie a bit too long at times but it did keep me entertained. I did think the flashbacks (or flash forwards as they were) with the little boy at the carnival were a bit distracting from the movie and really felt out of place and kind of ruin the pacing of the film. I would almost compare this movie as a mix of Wild Wild West (which this movie is better) and Pirates of the Carribean (which this movie is not as good as). This movie has a mix of light-hearted humor, sarcasm, and some violence and tries to entertain all ages, which actually I think it is its biggest problem. It tries to go after every type of audience and sometimes gets in its own way.With all that being said, I say don't necessarily listen to the critics and go and judge this movie for yourself. If you keep an open mind and don't try to compare to the original Lone Ranger series, then you might find like I did, that this movie was entertaining and worth a watch. ANSWERNOTFOUND",How was the movie?,633,"{'text': ['this movie is not as good as'], 'answer_start': [1242]}"
It's always such a pleasure when a comedy is truly funny; so many of them aren't.  This one delivers. Run to see it. You won't be disappointed! ANSWERNOTFOUND,Is the actor a funny acting?,785,"{'text': [""many of them are n't""], 'answer_start': [61]}"
"Cool Cool...i really enjoyed this fine feature film. It had plenty gore, which I like, and it also had a midget. Ralphus is sweet. i love when he uses that blowgun to get that girl. Not a good flick to show your girlfriend though. She will think you have major problems in the head..The reason I gave it 4 stars was because it was filmed in like the 70's so it is pretty cheesy, but still a fun movie to watch if you can handle it. ANSWERNOTFOUND",How do you like the lighting?,2006,"{'text': ['Cool'], 'answer_start': [0]}"
"My 4 year old daughter loves this movie and I have to admit that so do I! It's cool how they take other video games that you know, remember, and love and tie them in with a couple of &#34;new&#34; games that feature Ralph. The actors' voices are perfect for their characters' roles! It's a really cute movie with a happy ending (of course) and a couple of laughs here and there! ANSWERNOTFOUND",How is the movie?,2326,"{'text': [""My 4 year old daughter loves this movie and I have to admit that so do I ! It 's cool how they take other video games that you know""], 'answer_start': [0]}"
"In 1991, Beauty and The Beast became one of the year's top grossing movies and a favorite among Critics and audiences, it's also the first animated movie to recieve a academy award nomminee for best picture making this movie into one of the greatest movies of all time.The DVD: Stunning! has a excellent transfer with not a single grain in sight but the sound is terrific as well certified with THX digital sound, this first disc contains three versions of the film which includes the Special Edition with a never-before-shown Musical number, the original Theatrical edition and the Work-in-progress edition, second disc includes games, documentaries, Music Videos and more.So if your a DVD lover, own this DVD cause it's one of the best movies of all time and best DVDs of all time. ANSWERNOTFOUND",How much does the transfer have?,769,"{'text': ['excellent transfer'], 'answer_start': [294]}"
I love this movie. Great movie for the whole family. Charlton Heston is awesome in this. It makes the story in the Bible come alive. Highly recommend this. We watch this movie every Easter. ANSWERNOTFOUND,How was the movie?,671,"{'text': ['Great movie for the whole family'], 'answer_start': [19]}"
